tract_id,house_num,shape_area,shape_length,shape_area_c,shape_length_c,target
251300,887.0,1472865.015415795,150807.9423817651,1382098.2569410966,141656.27618241482,0
251600,913.0,1529687.679861169,150026.01513990434,1439032.9653649318,141151.27962212503,0
251700,369.0,871735.0999442472,64688.387435246805,819422.0326582006,60756.41341782471,0
251800,524.0,1326603.577650668,102504.88858725046,1232288.3199714606,95247.82168641812,0
252000,476.0,1592903.7850748114,109663.77377516964,1494500.5330037393,102897.63918985787,0
252101,10.0,51354.16708224649,2549.562439187321,49269.45686399459,2443.228647830683,0
252102,964.0,1557807.7884667497,148353.32804624533,1429651.2989565274,136253.4317673215,0
252201,745.0,1844800.993059703,137355.1955231896,1719704.4324445657,128124.47941443864,0
252202,661.0,1232900.5520069264,109698.1744111533,1132708.5061528392,100606.83108424288,0
260100,159.0,1214864.2545940871,46233.956706422905,1112596.7357092428,42053.14408905313,0
260200,236.0,1070302.9020277387,56269.632761220186,971933.4763502732,51359.65225839231,0
260300,328.0,1321919.1688353478,71880.92981271062,1230641.3851871812,66542.43233551385,0
260400,335.0,1713980.8538811393,79659.24158425553,1575850.8963302036,73349.24013017051,0
260500,436.0,1054207.0700729806,76483.83449468834,964961.854730997,69723.94370843696,0
260600,443.0,953763.9624580556,75504.15352430561,871333.7246310867,68458.73859960536,0
260700,292.0,883736.4788679515,57091.42426246764,808317.5619966852,52032.61089825213,0
260800,218.0,849069.5423097177,47880.04318504744,766936.7680670206,43153.346226590846,0
261000,268.0,973274.4446143789,53419.092118815024,893124.3130631683,48616.13154546619,0
270500,93.0,585644.3036565653,27751.737594054703,541175.4610853,25459.677174283635,0
271200,201.0,1402286.047281567,52458.33864263301,1324168.6034210878,48821.763360419085,0
271300,150.0,2409803.3330905605,58102.9451023555,2266438.8542283536,54096.61479782752,0
271400,189.0,1059520.4248524643,50410.61985857779,991941.6509382732,46636.7615820756,0
271800,274.0,1423369.021638337,67549.0674823583,1338282.2163364084,62797.94633721034,0
280800,242.0,1159124.5684174374,60152.05990710252,1087332.613062258,55824.13257741463,0
