,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
234,528.0,37346.0,53574.0,1826.0,1012.0,4802.0,1596.0,4805.0,1023.0,884.0,200200.0,41.93,-87.74,0.0
235,309.0,40385.0,60665.0,1969.0,963.0,2130.0,570.0,2130.0,1012.0,884.0,200300.0,41.92,-87.73,0.0
236,789.0,38309.0,50375.0,1929.0,928.0,3642.0,1030.0,3642.0,1012.0,880.0,200401.0,41.92,-87.74,0.0
237,590.0,42135.0,58474.0,1836.0,884.0,4241.0,1059.0,4241.0,1070.0,880.0,200402.0,41.92,-87.73,0.0
238,457.0,56705.0,76102.0,2194.0,1211.0,3511.0,1362.0,3517.0,1280.0,987.0,210100.0,41.94,-87.7,0.0
239,387.0,42364.0,58218.0,1969.0,1023.0,2732.0,969.0,2780.0,1012.0,936.0,210400.0,41.94,-87.73,0.0
240,404.0,42990.0,55751.0,2162.0,936.0,3500.0,1258.0,3500.0,1041.0,940.0,210501.0,41.94,-87.72,1.0
241,771.0,44750.0,57205.0,2225.0,1004.0,4645.0,1433.0,4653.0,1092.0,936.0,210502.0,41.93,-87.72,1.0
242,356.0,61141.0,69388.0,2161.0,1041.0,2716.0,930.0,2725.0,1124.0,936.0,210601.0,41.94,-87.71,0.0
243,414.0,54700.0,81502.0,1842.0,989.0,4032.0,1504.0,4032.0,1533.0,974.0,210602.0,41.93,-87.71,0.0
244,458.0,51758.0,71644.0,2068.0,1124.0,4253.0,1593.0,4253.0,1610.0,989.0,210700.0,41.94,-87.7,0.0
245,109.0,59615.0,99675.0,2400.0,1047.0,1076.0,378.0,1081.0,1610.0,1124.0,210800.0,41.94,-87.7,0.0
246,440.0,54688.0,80631.0,2100.0,1147.0,2952.0,1184.0,2952.0,1610.0,1047.0,210900.0,41.93,-87.69,0.0
247,219.0,85288.0,118067.0,2633.0,1266.0,2157.0,911.0,2177.0,1610.0,1017.0,220300.0,41.93,-87.7,1.0
248,126.0,88043.0,103393.0,2476.0,1610.0,2569.0,1088.0,2569.0,1533.0,1047.0,220400.0,41.93,-87.7,0.0
249,109.0,80433.0,100042.0,2099.0,1533.0,2552.0,1201.0,2552.0,1610.0,974.0,220500.0,41.93,-87.7,0.0
250,297.0,58558.0,77103.0,2555.0,1168.0,1893.0,693.0,1893.0,1533.0,974.0,220601.0,41.93,-87.71,0.0
251,364.0,44091.0,65421.0,2230.0,974.0,5148.0,2382.0,5164.0,1533.0,989.0,220602.0,41.93,-87.71,1.0
252,478.0,67415.0,84765.0,1706.0,1092.0,3329.0,1040.0,3337.0,1168.0,961.0,220701.0,41.93,-87.72,0.0
253,688.0,61186.0,67280.0,2132.0,1011.0,3828.0,1287.0,3853.0,1092.0,936.0,220702.0,41.93,-87.72,0.0
254,551.0,41047.0,59140.0,1654.0,961.0,2965.0,980.0,2965.0,1103.0,977.0,220901.0,41.92,-87.72,1.0
255,419.0,46574.0,62176.0,2074.0,1070.0,2943.0,954.0,2943.0,1098.0,884.0,220902.0,41.92,-87.72,1.0
256,521.0,38250.0,58696.0,1911.0,1098.0,2962.0,1019.0,2962.0,1168.0,961.0,221000.0,41.92,-87.72,0.0
257,564.0,53846.0,64736.0,2081.0,1123.0,5091.0,1956.0,5296.0,1231.0,977.0,221100.0,41.92,-87.71,0.0
258,337.0,82941.0,116716.0,2043.0,1231.0,3240.0,1246.0,3249.0,1533.0,1123.0,221200.0,41.92,-87.7,0.0
259,240.0,62679.0,76909.0,2303.0,1161.0,2748.0,1301.0,2803.0,1610.0,1162.0,221300.0,41.92,-87.7,0.0
260,395.0,70313.0,89876.0,2148.0,1321.0,3067.0,1322.0,3067.0,1548.0,1017.0,221400.0,41.92,-87.69,0.0
261,177.0,58268.0,74266.0,2201.0,1017.0,2783.0,1383.0,2783.0,1790.0,1266.0,221500.0,41.92,-87.69,0.0
262,249.0,107841.0,165159.0,3039.0,1541.0,3025.0,1383.0,3025.0,2097.0,1017.0,221600.0,41.92,-87.69,0.0
263,121.0,130990.0,186802.0,3043.0,1790.0,2104.0,879.0,2123.0,2097.0,1017.0,222200.0,41.92,-87.68,0.0
